visiting.team,home.team,date,visiting.score,home.score
Valparaiso,Arizona,20111107,64,73
William & Mary,St. John's,20111107,59,74
East. Kentucky,Mississippi St.,20111107,66,76
Duquesne,Arizona,20111109,59,67
Liberty,Texas A&M,20111109,59,81
Akron,Mississippi St.,20111109,68,58
Lehigh,St. John's,20111109,73,78
Michigan State,North Carolina,20111111,55,67
Marist,Kentucky,20111111,58,108
Wright State,Ohio State,20111111,42,73
Columbia,Connecticut,20111111,57,70
Belmont,Duke,20111111,76,77
Oregon,Vanderbilt,20111111,64,78
Jackson State,Florida,20111111,59,99
Tenn.-Martin,Louisville,20111111,48,83
Albany,Pittsburgh,20111111,56,89
Texas Southern,Baylor,20111111,57,77
Towson,Kansas,20111111,54,100
Morgan State,Xavier,20111111,63,74
Loyola Marym't,UCLA,20111111,69,58
Ferris State,Michigan,20111111,33,59
North Florida,Alabama,20111111,44,64
Mt. St. Mary's,Marquette,20111111,37,91
Eastern Wash.,Gonzaga,20111111,69,77
UC Irvine,California,20111111,56,77
Southeast Mo. St.,Missouri,20111111,68,83
N'west Mo. St.,UMKC,20111111,0,0
Sacred Heart,Hartford,20111111,0,0
Montana State,Arizona State,20111111,72,78
Northeastern,Boston U.,20111111,0,0
John. & Wales,Brown,20111111,0,0
Eastern Illinois,Indiana State,20111111,0,0
Fairfield,Quinnipiac,20111111,0,0
Montreat,Presbyterian,20111111,0,0
Simpson,Utah Valley,20111111,0,0
Stony Brook,Indiana,20111111,66,96
Randolph,Liberty,20111111,0,0
UNC-Greensboro,Tennessee,20111111,63,92
Cornell,St. Bonaventure,20111111,0,0
Jacksonville,Florida State,20111111,67,79
Tennessee Tech,Miami (Fla.),20111111,58,69
St. Peter's,Buffalo,20111111,0,0
Navy,Longwood,20111111,78,70
Ill.-Chicago,Eastern Mich.,20111111,0,0
Milligan,East Carolina,20111111,45,101
Western Caro.,South Carolina,20111111,50,75
UNC-Asheville,NC State,20111111,75,84
Loyola Maryland,Wake Forest,20111111,63,75
Lees-McRae,Appalachian St.,20111111,0,0
Long Island,Hofstra,20111111,0,0
MIT,Harvard,20111111,0,0
Suffolk,New Hampshire,20111111,0,0
Covenant,Coastal Caro.,20111111,0,0
Howard,Bowling Green,20111111,0,0
Lafayette,La Salle,20111111,53,79
Md.-East. Shore,Geo. Washington,20111111,0,0
Northern Ill.,Purdue,20111111,34,96
Monmouth,Villanova,20111111,70,106
Lake Erie,Detroit,20111111,0,0
Rider,Robert Morris,20111111,0,0
Anderson (Ind.),IUPUI,20111111,68,101
Delaware,Radford,20111111,0,0
Bethune-Cookman,Stetson,20111111,0,0
La.-Monroe,Mississippi,20111111,38,60
Rhode Island,George Mason,20111111,0,0
St. Francis (Pa.),VCU,20111111,0,0
Houston Baptist,Campbell,20111111,0,0
Cheyney,Coppin State,20111111,0,0
Valparaiso,Ga. Southern,20111111,0,0
Alabama State,Marshall,20111111,49,67
Roanoke,Furman,20111111,0,0
Holy Cross,Charleston,20111111,69,78
N.C. Central,Charlotte,20111111,0,0
American,Richmond,20111111,0,0
Penn,UMBC,20111111,0,0
Southern Utah,UC Davis,20111111,0,0
Dartmouth,Rutgers,20111111,56,62
Florida A&M,Georgia Tech,20111111,59,92
Idaho State,Oklahoma,20111111,74,78
Fla. Gulf Coast,TCU,20111111,0,0
St. Gregory's,North Texas,20111111,52,81
Charleston So.,Kansas State,20111111,67,72
McMurry,SMU,20111111,49,78
LeTourneau,N'western St.,20111111,0,0
Saint Joseph's,Western Ky.,20111111,0,0
Bucknell,Minnesota,20111111,58,70
Guilford,Davidson,20111111,64,111
Gardner-Webb,Clemson,20111111,44,65
South Dakota,Nebraska,20111111,48,65
Dillard,Southern U.,20111111,0,0
Austin Peay,Middle Tenn.,20111111,0,0
S.C. Upstate,Arkansas,20111111,63,83
Chicago State,Iowa,20111111,53,96
Wofford,Georgia,20111111,49,62
Mary,Green Bay,20111111,0,0
Centenary (La.),Steph. F. Austin,20111111,0,0
Texas A&M-C.C.,Oklahoma State,20111111,39,71
UALR,Tulsa,20111111,49,65
McNeese State,Auburn,20111111,62,84
Yale,Cent. Conn. St.,20111111,0,0
N.C. A&T,Creighton,20111111,65,97
Fort Valley St.,Lipscomb,20111111,0,0
Texas Lutheran,Texas State,20111111,0,0
Harris-Stowe,Murray State,20111111,0,0
Arkansas State,Lamar,20111111,0,0
