last_month_value,this_month_value,revision,revision_report_date,previous_report_date
48762.0,48766.0,4.0,1955-06-07,1955-05-06
48849.0,48878.0,29.0,1955-06-07,1955-05-06
49184.0,49214.0,30.0,1955-07-08,1955-06-07
49330.0,49483.0,153.0,1955-08-09,1955-07-08
49684.0,49654.0,-30.0,1955-09-07,1955-08-09
49678.0,49750.0,72.0,1955-10-10,1955-09-07
49821.0,49847.0,26.0,1955-11-07,1955-10-10
49907.0,49969.0,62.0,1955-12-07,1955-11-07
50149.0,50181.0,32.0,1956-01-09,1955-12-07
50031.0,50211.0,180.0,1956-02-07,1956-01-09
50208.0,50293.0,85.0,1956-03-09,1956-02-07
50179.0,50280.0,101.0,1956-04-09,1956-03-09
50211.0,50210.0,-1.0,1956-05-08,1956-04-09
50377.0,51281.0,904.0,1956-06-08,1956-05-08
51256.0,51389.0,133.0,1956-07-09,1956-06-08
51437.0,51623.0,186.0,1956-08-08,1956-07-09
51126.0,51022.0,-104.0,1956-09-10,1956-08-08
51621.0,51707.0,86.0,1956-10-09,1956-09-10
51555.0,51603.0,48.0,1956-11-08,1956-10-09
51817.0,51869.0,52.0,1956-12-10,1956-11-08
51886.0,51943.0,57.0,1957-01-11,1956-12-10
51988.0,52071.0,83.0,1957-02-08,1957-01-11
52112.0,52063.0,-49.0,1957-03-12,1957-02-08
52151.0,52105.0,-46.0,1957-04-09,1957-03-12
52008.0,52063.0,55.0,1957-05-10,1957-04-09
51992.0,52567.0,575.0,1957-06-11,1957-05-10
52569.0,52639.0,70.0,1957-07-11,1957-06-11
52615.0,52762.0,147.0,1957-08-12,1957-07-11
52786.0,52809.0,23.0,1957-09-10,1957-08-12
52788.0,52870.0,82.0,1957-10-10,1957-09-10
52682.0,52644.0,-38.0,1957-11-08,1957-10-10
52507.0,52486.0,-21.0,1957-12-11,1957-11-08
52189.0,52237.0,48.0,1958-01-14,1957-12-11
51895.0,51930.0,35.0,1958-02-11,1958-01-14
51735.0,51756.0,21.0,1958-03-11,1958-02-11
51151.0,51035.0,-116.0,1958-04-08,1958-03-11
50732.0,50739.0,7.0,1958-05-08,1958-04-08
50579.0,50585.0,6.0,1958-06-06,1958-05-08
50700.0,50144.0,-556.0,1958-07-08,1958-06-06
50289.0,50297.0,8.0,1958-08-08,1958-07-08
50428.0,50431.0,3.0,1958-09-09,1958-08-08
50529.0,50552.0,23.0,1958-10-10,1958-09-09
50651.0,50779.0,128.0,1958-11-10,1958-10-10
50660.0,50586.0,-74.0,1958-12-10,1958-11-10
50773.0,50825.0,52.0,1959-01-13,1958-12-10
50736.0,50818.0,82.0,1959-02-10,1959-01-13
50992.0,51022.0,30.0,1959-03-11,1959-02-10
51036.0,51113.0,77.0,1959-04-07,1959-03-11
51357.0,51394.0,37.0,1959-05-11,1959-04-07
51763.0,51869.0,106.0,1959-06-10,1959-05-11
52100.0,52127.0,27.0,1959-07-14,1959-06-10
52345.0,52408.0,63.0,1959-08-11,1959-07-14
52572.0,52585.0,13.0,1959-09-10,1959-08-11
52407.0,52011.0,-396.0,1959-10-13,1959-09-10
51999.0,52169.0,170.0,1959-11-11,1959-10-13
52006.0,51996.0,-10.0,1959-12-11,1959-11-11
52120.0,52199.0,79.0,1960-01-15,1959-12-11
52485.0,52654.0,169.0,1960-02-11,1960-01-15
52800.0,52881.0,81.0,1960-03-15,1960-02-11
52928.0,52950.0,22.0,1960-04-12,1960-03-15
52736.0,52803.0,67.0,1960-05-11,1960-04-12
53044.0,53109.0,65.0,1960-06-13,1960-05-11
53042.0,53095.0,53.0,1960-07-12,1960-06-13
53039.0,53114.0,75.0,1960-08-10,1960-07-12
53133.0,53158.0,25.0,1960-09-09,1960-08-10
53076.0,53036.0,-40.0,1960-10-10,1960-09-09
52994.0,52952.0,-42.0,1960-11-10,1960-10-10
52854.0,52806.0,-48.0,1960-12-12,1960-11-10
52704.0,52588.0,-116.0,1961-01-13,1960-12-12
52224.0,52215.0,-9.0,1961-02-09,1961-01-13
52342.0,52273.0,-69.0,1961-03-07,1961-02-09
51996.0,51981.0,-15.0,1961-04-04,1961-03-07
52005.0,51841.0,-164.0,1961-05-02,1961-04-04
52176.0,52226.0,50.0,1961-05-31,1961-05-02
52433.0,52513.0,80.0,1961-07-05,1961-05-31
52829.0,52938.0,109.0,1961-08-02,1961-07-05
53160.0,53078.0,-82.0,1961-08-29,1961-08-02
53132.0,53143.0,11.0,1961-10-03,1961-08-29
53171.0,54417.0,1246.0,1961-11-03,1961-10-03
54576.0,54420.0,-156.0,1961-12-07,1961-11-03
54478.0,54517.0,39.0,1962-01-09,1961-12-07
54491.0,54495.0,4.0,1962-01-31,1962-01-09
54434.0,54424.0,-10.0,1962-03-07,1962-01-31
54693.0,54778.0,85.0,1962-04-06,1962-03-07
54828.0,54871.0,43.0,1962-05-09,1962-04-06
55112.0,55229.0,117.0,1962-05-31,1962-05-09
55291.0,55371.0,80.0,1962-07-05,1962-05-31
55414.0,55508.0,94.0,1962-08-01,1962-07-05
55632.0,55649.0,17.0,1962-09-05,1962-08-01
55565.0,55556.0,-9.0,1962-10-04,1962-09-05
55551.0,55582.0,31.0,1962-10-31,1962-10-04
55626.0,55620.0,-6.0,1962-12-05,1962-10-31
55589.0,55577.0,-12.0,1963-01-10,1962-12-05
55594.0,55617.0,23.0,1963-01-31,1963-01-10
55551.0,55552.0,1.0,1963-03-07,1963-01-31
55734.0,55727.0,-7.0,1963-04-04,1963-03-07
55928.0,55953.0,25.0,1963-05-02,1963-04-04
56229.0,56189.0,-40.0,1963-06-06,1963-05-02
56359.0,56413.0,54.0,1963-07-05,1963-06-06
56556.0,56588.0,32.0,1963-08-01,1963-07-05
56718.0,57356.0,638.0,1963-09-06,1963-08-01
57299.0,57325.0,26.0,1963-10-03,1963-09-06
57427.0,57452.0,25.0,1963-10-31,1963-10-03
57544.0,57622.0,78.0,1963-12-06,1963-10-31
57663.0,57623.0,-40.0,1964-01-10,1963-12-06
57805.0,57747.0,-58.0,1964-02-06,1964-01-10
57834.0,57802.0,-32.0,1964-03-06,1964-02-06
58082.0,58160.0,78.0,1964-04-03,1964-03-06
58226.0,58268.0,42.0,1964-05-07,1964-04-03
58471.0,58463.0,-8.0,1964-06-05,1964-05-07
58503.0,58551.0,48.0,1964-07-02,1964-06-05
58665.0,58750.0,85.0,1964-08-06,1964-07-02
58888.0,58929.0,41.0,1964-09-03,1964-08-06
58944.0,58936.0,-8.0,1964-10-01,1964-09-03
59039.0,59049.0,10.0,1964-11-05,1964-10-01
58983.0,58372.0,-611.0,1964-12-04,1964-11-05
58790.0,58871.0,81.0,1965-01-07,1964-12-04
59097.0,59187.0,90.0,1965-02-03,1965-01-07
59280.0,59328.0,48.0,1965-03-04,1965-02-03
59560.0,59677.0,117.0,1965-04-01,1965-03-04
59902.0,59968.0,66.0,1965-05-06,1965-04-01
59917.0,59916.0,-1.0,1965-06-03,1965-05-06
60064.0,60098.0,34.0,1965-07-01,1965-06-03
60306.0,60362.0,56.0,1965-08-05,1965-07-01
60528.0,60589.0,61.0,1965-09-02,1965-08-05
60711.0,60680.0,-31.0,1965-10-07,1965-09-02
60806.0,60796.0,-10.0,1965-11-04,1965-10-07
61019.0,60975.0,-44.0,1965-12-02,1965-11-04
61268.0,61430.0,162.0,1966-01-07,1965-12-02
61797.0,61865.0,68.0,1966-02-08,1966-01-07
62111.0,62146.0,35.0,1966-03-08,1966-02-08
62404.0,62488.0,84.0,1966-04-05,1966-03-08
62809.0,62881.0,72.0,1966-05-06,1966-04-05
62887.0,62933.0,46.0,1966-06-06,1966-05-06
